node_id,total_sent,out_degree,sent_alert_count,max_risk_sent,total_received,in_degree,received_alert_count,max_risk_received,in_out_ratio,total_amount,max_risk_score,alert_count,pagerank,is_mule_account,suspicion_score
670102075976,0.0,0.0,0.0,0.0,2740131.9899999998,92.0,21.0,99.9,92000000.0,2740131.9899999998,99.9,21,0.00048216758649145754,1,0.8641
471425290978,0.0,0.0,0.0,0.0,3001074.32,97.0,22.0,99.9,97000000.0,3001074.32,99.9,22,0.0004507187516327996,1,0.8495
721050643757,0.0,0.0,0.0,0.0,3913005.4899999998,143.0,16.0,100.0,143000000.0,3913005.4899999998,100.0,16,0.0005228406782064833,1,0.8482
934650547896,0.0,0.0,0.0,0.0,2264819.42,107.0,15.0,100.0,107000000.0,2264819.42,100.0,15,0.0005228672144878318,1,0.8389
480661712892,0.0,0.0,0.0,0.0,2014559.11,84.0,22.0,99.9,84000000.0,2014559.11,99.9,22,0.0004074962131478617,1,0.8166
775764849956,0.0,0.0,0.0,0.0,2281539.14,94.0,17.0,100.0,94000000.0,2281539.14,100.0,17,0.00046534332148723907,1,0.8138
212728102763,0.0,0.0,0.0,0.0,1364622.3800000001,77.0,22.0,100.0,77000000.0,1364622.3800000001,100.0,22,0.00040350952926487425,1,0.8136
364911456494,0.0,0.0,0.0,0.0,2459392.07,106.0,19.0,100.0,106000000.0,2459392.07,100.0,19,0.0004331057679355883,1,0.808
746783435141,0.0,0.0,0.0,0.0,1841678.56,78.0,9.0,99.9,78000000.0,1841678.56,99.9,9,0.0005251968597024498,1,0.7844
852209437054,0.0,0.0,0.0,0.0,2107107.62,93.0,10.0,99.8,93000000.0,2107107.62,99.8,10,0.0005041521368497155,1,0.7777
128042145101,0.0,0.0,0.0,0.0,1786199.59,64.0,19.0,100.0,64000000.0,1786199.59,100.0,19,0.00039314440758177584,1,0.7776
722699729557,0.0,0.0,0.0,0.0,1289597.86,80.0,22.0,99.9,80000000.0,1289597.86,99.9,22,0.00034349976756720667,1,0.7679
191786884042,0.0,0.0,0.0,0.0,2606882.45,126.0,13.0,100.0,126000000.0,2606882.45,100.0,13,0.0004525851597027712,1,0.7666
235640798748,0.0,0.0,0.0,0.0,1336470.18,66.0,18.0,100.0,66000000.0,1336470.18,100.0,18,0.00038950778574206715,1,0.7654
670391327459,0.0,0.0,0.0,0.0,2028847.44,65.0,13.0,100.0,65000000.0,2028847.44,100.0,13,0.00044752804653935987,1,0.7627
480257636948,0.0,0.0,0.0,0.0,1779753.7,114.0,15.0,99.5,114000000.0,1779753.7,99.5,15,0.0004220142765601606,1,0.762
867849323568,0.0,0.0,0.0,0.0,1818894.3699999999,63.0,16.0,100.0,63000000.0,1818894.3699999999,100.0,16,0.0004023950481538893,1,0.7565
755772838417,0.0,0.0,0.0,0.0,1265317.24,91.0,17.0,99.9,91000000.0,1265317.24,99.9,17,0.00038810677865406987,1,0.755
235214583860,0.0,0.0,0.0,0.0,2021457.84,57.0,15.0,100.0,57000000.0,2021457.84,100.0,15,0.0004020201624696565,1,0.7468
390232810892,0.0,0.0,0.0,0.0,1860304.24,131.0,7.0,99.2,131000000.0,1860304.24,99.2,7,0.000498715173737832,1,0.7455
377444832313,0.0,0.0,0.0,0.0,1590622.24,43.0,21.0,100.0,43000000.0,1590622.24,100.0,21,0.0003140477348932302,1,0.7361
851755793416,0.0,0.0,0.0,0.0,1076131.04,63.0,19.0,99.9,63000000.0,1076131.04,99.9,19,0.0003349009173263873,1,0.7332
934676997354,0.0,0.0,0.0,0.0,2647494.79,75.0,17.0,100.0,75000000.0,2647494.79,100.0,17,0.0003492189527219517,1,0.7253
